Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Low SDI,2020,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",34.78862615243465,30.907016058785626,39.287764256693926
Low SDI,2021,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",34.75623221105633,30.375569823237292,39.350649656697584
Low-middle SDI,1990,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.573049420686615,48.564757862198746,57.9141052147935
Low-middle SDI,1991,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.24273921065704,49.20384206380166,57.79248759551814
Low-middle SDI,1992,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",52.8220201268784,48.56471972285382,56.85982326071004
Low-middle SDI,1993,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",52.927916259936175,48.76048207740405,57.1843178724257
Low-middle SDI,1994,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.05834375227934,49.186764928552726,56.86885321414832
Low-middle SDI,1995,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.01309427817796,49.05753674241274,56.81962827916027
Low-middle SDI,1996,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.13951355859737,49.956392022939646,56.9287197990372
Low-middle SDI,1997,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.684218176726674,50.56547431852052,57.08170908578914
Low-middle SDI,1998,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.04816554213855,50.76923546895179,57.1137176575974
Low-middle SDI,1999,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.72403565299222,51.754403428139184,58.13747461327184
Low-middle SDI,2000,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.64932478022115,51.724580844284354,57.56033947567557
Low-middle SDI,2001,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.28345049832228,51.54660027067802,57.77978886309562
Low-middle SDI,2002,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.81303795681549,51.08337184953443,56.82566815958669
Low-middle SDI,2003,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.164901708898725,50.09035473947623,56.21470548439997
Low-middle SDI,2004,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.084160255014844,50.204298262931175,56.0096512296048
Low-middle SDI,2005,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.108792656949696,50.39965053008567,56.297413273013035
Low-middle SDI,2006,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.86483094794718,51.0180213124007,56.759533770385495
Low-middle SDI,2007,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.2106838299159,51.22127854011222,57.11910805445201
Low-middle SDI,2008,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.34313227711363,51.54721147600104,57.0509448205715
Low-middle SDI,2009,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.151872300945726,51.20508039919301,57.01957794663375
Low-middle SDI,2010,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.07852471486785,51.01538660812209,56.82979058356173
Low-middle SDI,2011,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.134122752761975,51.42300244600702,57.10542665126544
Low-middle SDI,2012,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.11514919079011,51.06103820885342,57.214095291165364
Low-middle SDI,2013,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",53.31288442886702,50.342675021386356,56.39125206081236
Low-middle SDI,2014,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",51.79747949719618,48.632788986148704,55.31019894043394
Low-middle SDI,2015,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",50.65432110123176,47.421383471733094,53.86783664944202
Low-middle SDI,2016,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",50.735551907202776,47.95881053450981,54.092874907508644
Low-middle SDI,2017,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",50.603776074739905,47.49169069013384,54.24620984017432
Low-middle SDI,2018,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",50.05662317491898,46.64544524544579,53.527958774286645
Low-middle SDI,2019,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",49.47441955886049,46.21103554388128,53.27664051480106
Low-middle SDI,2020,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",49.20299556134374,45.52471328324668,53.26660486865401
Low-middle SDI,2021,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",49.141239743718245,44.915043152241104,53.454959522418356
Middle SDI,1990,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",43.365176778282155,40.21662762640297,46.75413732465028
Middle SDI,1991,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",43.38674122016619,40.318721325007246,46.49833261023084
Middle SDI,1992,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",43.67528140075048,40.597035939863794,46.977228957182426
Middle SDI,1993,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",43.812760619333176,41.300034341353346,46.72464016527641
Middle SDI,1994,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",44.02596597904449,41.585471193462936,46.569262927144166
Middle SDI,1995,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",44.42448143249772,41.775921673791586,46.737946010157444
Middle SDI,1996,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",44.75531290951037,42.47271214591628,47.323206900173105
Middle SDI,1997,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",44.5472027561587,42.453969678956724,46.64090963916092
Middle SDI,1998,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",44.82915968890721,42.709319475809316,47.17928256802023
Middle SDI,1999,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.10964288148577,43.002101863501,47.49753270283433
Middle SDI,2000,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.4434773399808,43.24605294462695,47.559389638293965
Middle SDI,2001,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.19800229535888,43.01619946879942,47.63264608700932
Middle SDI,2002,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.505355531097585,43.35515453299085,47.972369352181246
Middle SDI,2003,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.88440253649739,43.667794442811946,48.303151328508235
Middle SDI,2004,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",46.175427549493904,43.965254230768124,48.66172916096796
Middle SDI,2005,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.85810834555708,43.758133272220874,48.0926906126384
Middle SDI,2006,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.49767311640337,43.61142857526174,47.70636822827034
Middle SDI,2007,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.82333963917132,43.88763324662661,48.14119639291581
Middle SDI,2008,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",46.3782030497102,44.28839421011285,48.62950046946054
Middle SDI,2009,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",46.71910323373821,44.58363932722865,48.96400406427905
Middle SDI,2010,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",47.22105445256512,44.94210606951017,49.50034721632461
Middle SDI,2011,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",47.48755702433393,45.060770731407295,50.17775835340929
Middle SDI,2012,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",47.78009322592457,45.28401221490029,50.777418650686876
Middle SDI,2013,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",47.81799218202632,45.21773909151534,50.8343288278675
Middle SDI,2014,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",47.12105554321455,44.46055220962535,50.48432254576289
Middle SDI,2015,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",46.47827672577225,43.617031132979015,49.89449067733584
Middle SDI,2016,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",46.42951627301949,43.3115131141131,49.706793542649464
Middle SDI,2017,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.79314258115463,42.6781588253662,49.34685701748131
Middle SDI,2018,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.10985310319062,41.76868470416804,48.33407362379845
Middle SDI,2019,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",44.75932505303537,41.527821868682274,48.47766231585826
Middle SDI,2020,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",44.14227148830109,40.65444326844196,47.57796061880087
Middle SDI,2021,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",44.277770132388454,40.55825543404934,48.34008774320867
High-middle SDI,1990,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",50.80679683776803,47.55649501927721,54.30819127149384
High-middle SDI,1991,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",51.83548217666389,48.69706678346197,55.35388459512241
High-middle SDI,1992,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",55.07594315963878,52.133810925290426,58.38059463670671
High-middle SDI,1993,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",61.1692273440808,58.437473010991134,64.26887317272474
High-middle SDI,1994,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",66.37753569343717,63.863594370647725,68.96356797628826
High-middle SDI,1995,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",66.94036804393306,64.52518398761681,69.38271186454807
High-middle SDI,1996,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",64.614336342411,62.16995715323469,67.24568684509183
High-middle SDI,1997,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",61.43152728704007,59.056932441859665,63.8343072528766
High-middle SDI,1998,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",60.57831621217424,58.07864040931253,63.07346532757214
High-middle SDI,1999,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",62.8387491579554,60.54046725101162,65.37421639493876
High-middle SDI,2000,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",65.37752946750635,62.898069943556024,67.89835178518598
High-middle SDI,2001,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",65.34906739242038,63.09349318707096,67.89919552405595
High-middle SDI,2002,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",66.59397940856074,64.10720812171976,68.92769471084496
High-middle SDI,2003,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",68.1127046349657,65.584052512047,70.6862288451282
High-middle SDI,2004,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",68.81175801825357,66.45841312684948,71.19036595863965
High-middle SDI,2005,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",71.689295201273,69.44664485745234,74.02860668471769
High-middle SDI,2006,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",67.21567345753644,65.18583176277944,69.41551981817996
High-middle SDI,2007,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",64.31834225339783,62.01681637138586,66.74798332982326
High-middle SDI,2008,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",63.49908638266053,61.25429264946262,65.98891113641953
High-middle SDI,2009,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",60.14777562853595,57.635705607349394,62.80402342794667
High-middle SDI,2010,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",58.95581603529833,56.32903270821572,61.86984743343786
High-middle SDI,2011,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",54.51480065173342,51.93982455452428,57.6348041971386
High-middle SDI,2012,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",52.10606467530658,49.26480013239773,55.36716176632084
High-middle SDI,2013,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",50.99429210623824,48.22783792602171,54.29549923626476
High-middle SDI,2014,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",50.71080978615442,47.97976906813712,54.20569094132222
High-middle SDI,2015,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",49.07700951229593,45.942448717819445,52.74313465449889
High-middle SDI,2016,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",48.21026580652867,44.89379632189876,52.30291091936543
High-middle SDI,2017,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",47.10710548138062,43.152759045243386,51.145104859594596
High-middle SDI,2018,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",46.92681956084061,43.06562932384758,51.16046739638733
High-middle SDI,2019,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",46.4829846188162,42.309161168200994,51.38560613562129
High-middle SDI,2020,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.269262471847476,41.424126590950195,49.73525656998126
High-middle SDI,2021,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",45.19123474728198,40.971926038591164,49.953318667598126
High SDI,1990,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",35.69348219656618,35.04476353666711,36.325989553385014
High SDI,1991,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",35.77759768442773,35.162216722913875,36.42878336671857
High SDI,1992,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",35.38310753919725,34.71896344795385,35.95805425102745
High SDI,1993,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",35.15219515570265,34.51050426264619,35.76542747209588
High SDI,1994,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",34.86321723387427,34.320901439129344,35.45452203132621
High SDI,1995,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",35.06080438361039,34.47000040285343,35.604086623552014
High SDI,1996,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",34.46381455650449,33.88502402713884,34.96669268498222
High SDI,1997,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",33.69819562175751,33.18770126086538,34.19415900001763
High SDI,1998,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",33.075463984090014,32.565849647727475,33.593935916398316
High SDI,1999,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",32.66864818902162,32.16599436428304,33.186427575699675
High SDI,2000,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",31.97376617807033,31.481249731892678,32.46744738392427
High SDI,2001,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",31.685505582215093,31.19528166687058,32.22128611329266
High SDI,2002,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",31.46340098077276,30.975567515563963,31.924206429283213
High SDI,2003,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",31.231209764703056,30.732594536459157,31.68026975860739
High SDI,2004,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",30.734004086465674,30.29092824955349,31.252285761956948
High SDI,2005,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",30.520630737437088,30.024779320540745,31.01986956912065
High SDI,2006,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",30.027862065019153,29.565971109589942,30.567052579598435
High SDI,2007,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",29.33871011286681,28.867506970008492,29.89573148170382
High SDI,2008,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",28.584249857837918,28.031587043895428,29.13608841204442
High SDI,2009,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",27.805999887232133,27.23865404253861,28.384576663222305
High SDI,2010,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",27.014228004641208,26.417445946065246,27.614376181050527
High SDI,2011,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",26.29749854376396,25.64678648075856,26.952044253990042
High SDI,2012,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",25.774289429184044,25.069359739516173,26.45574617625112
High SDI,2013,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",25.31225891993647,24.59731868537426,26.054640660880107
High SDI,2014,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",24.794321364872612,24.006663053152195,25.654800047576472
High SDI,2015,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",24.70690129275462,23.847903477196862,25.683448322576766
High SDI,2016,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",24.704329055911032,23.754569834696415,25.813341105928394
High SDI,2017,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",24.485697726471066,23.49683036609062,25.694069391149878
High SDI,2018,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",24.272403419853948,23.20549848787079,25.44464316581613
High SDI,2019,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",24.025160507809186,22.841832910300372,25.428201833091453
High SDI,2020,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",23.472355215868973,22.205881938480225,24.92306151822318
High SDI,2021,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",23.177074220633642,21.756477917286897,24.839628819369462

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 9/29/2024)."
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
