"age","gender","avg_deaths","cardio","smoke","cholesterol","gluc","mean_bmi","mean_weight","mean_height","count"
"15-49","male",44.9659014713248,"1","0",1,2,33.3271464339406,97.3035714285714,170.464285714286,28
"15-49","male",44.9659014713248,"1","0",1,3,35.8270181196656,94.9090909090909,164.090909090909,11
"15-49","male",44.9659014713248,"1","0",2,1,33.6144716144217,99.406779661017,171.813559322034,59
"15-49","male",44.9659014713248,"1","0",2,2,33.6254495319476,98.1666666666667,170.958333333333,24
"15-49","male",44.9659014713248,"1","0",2,3,31.0978907517577,92,172,1
"15-49","male",44.9659014713248,"1","0",3,1,34.6963329821964,103.821428571429,172.428571428571,28
"15-49","male",44.9659014713248,"1","0",3,2,35.7313479729172,111.5,177.5,2
"15-49","male",44.9659014713248,"1","0",3,3,34.0590338960272,101.4,172.6,10
"15-49","male",44.9659014713248,"1","1",1,1,34.2670886159832,101.391304347826,171.652173913043,69
"15-49","male",44.9659014713248,"1","1",1,2,32.5483522840274,95.91,171.8,10
"15-49","male",44.9659014713248,"1","1",2,1,34.4207252757541,104.129032258065,173.741935483871,31
"15-49","male",44.9659014713248,"1","1",2,2,34.6523010407979,107.625,176.125,8
"15-49","male",44.9659014713248,"1","1",3,1,33.6380523711403,100,172.3,10
"15-49","male",44.9659014713248,"1","1",3,2,34.4825621738193,105.333333333333,174.666666666667,3
"15-49","male",44.9659014713248,"1","1",3,3,32.5358934896273,100,175.333333333333,3
"5-14","male",1.99701767582957,"0","0",1,1,30.0408163265306,92,175,1
"50-69","female",397.081783685,"0","0",1,1,37.5073037013312,90.8797004991681,157.668885191348,601
"50-69","female",397.081783685,"0","0",1,2,34.8461511452068,88.4269662921348,159.191011235955,89
"50-69","female",397.081783685,"0","0",1,3,34.0096397020917,87.8983050847458,160.64406779661,59
"50-69","female",397.081783685,"0","0",2,1,34.7894098690551,87.1375609756098,158.248780487805,205
"50-69","female",397.081783685,"0","0",2,2,34.7158241088195,88.5368421052632,159.578947368421,95
"50-69","female",397.081783685,"0","0",2,3,35.7075957009536,91.1428571428571,159.642857142857,14
"50-69","female",397.081783685,"0","0",3,1,34.9654222060022,88.3698630136986,159.041095890411,73
"50-69","female",397.081783685,"0","0",3,2,35.2123778195087,89.8125,159.6875,16
"50-69","female",397.081783685,"0","0",3,3,34.6719497858182,89.2676056338028,160.535211267606,71
"50-69","female",397.081783685,"0","1",1,1,36.2833511758063,94.4193548387097,161.129032258065,31
"50-69","female",397.081783685,"0","1",1,2,35.9593207941441,93.3333333333333,161,3
"50-69","female",397.081783685,"0","1",1,3,37.471214661145,99,162.5,2
"50-69","female",397.081783685,"0","1",2,1,32.0795060683804,82.3333333333333,160,6
"50-69","female",397.081783685,"0","1",2,2,38.0948113105389,103.6,164.2,5
"50-69","female",397.081783685,"0","1",2,3,39.544440949135,109.5,166.5,2
"50-69","female",397.081783685,"0","1",3,1,34.6349539184176,93,164,2
"50-69","female",397.081783685,"0","1",3,2,41.6418798334325,112,164,1
"50-69","female",397.081783685,"1","0",1,1,37.4150780084772,94.0100418410042,158.846582984658,717
"50-69","female",397.081783685,"1","0",1,2,36.6032766768231,91.6171875,158.6171875,128
"50-69","female",397.081783685,"1","0",1,3,34.7650529253571,88.8235294117647,159.803921568627,51
"50-69","female",397.081783685,"1","0",2,1,35.6982025101102,90.0323778501629,158.938110749186,307
"50-69","female",397.081783685,"1","0",2,2,36.2957282639327,91.8614906832298,158.975155279503,161
"50-69","female",397.081783685,"1","0",2,3,36.8051419593362,94.8780487804878,160.560975609756,41
"50-69","female",397.081783685,"1","0",3,1,36.338317252461,91.4139194139194,159.098901098901,273
"50-69","female",397.081783685,"1","0",3,2,36.3134213535122,93.6451612903226,160.677419354839,62
"50-69","female",397.081783685,"1","0",3,3,36.4227532513476,93.1181434599156,159.949367088608,237
"50-69","female",397.081783685,"1","1",1,1,42.0370548549227,91.4558823529412,158.705882352941,34
"50-69","female",397.081783685,"1","1",1,2,36.7971633171618,99.3333333333333,164.333333333333,3
"50-69","female",397.081783685,"1","1",1,3,31.4020356903429,85,164.333333333333,3
"50-69","female",397.081783685,"1","1",2,1,35.8435181537165,92.3636363636364,160.272727272727,11
"50-69","female",397.081783685,"1","1",2,2,38.8281839425991,104.818181818182,164.181818181818,11
"50-69","female",397.081783685,"1","1",2,3,39.8584546275624,103,161.666666666667,3
"50-69","female",397.081783685,"1","1",3,1,37.5638576039264,97.875,161.5,8
"50-69","female",397.081783685,"1","1",3,2,40.0498685413809,104,161,2
"50-69","female",397.081783685,"1","1",3,3,36.6410364978172,91.7916666666667,158.083333333333,12
"50-69","male",608.791287997383,"0","0",1,1,34.2336265994582,95.9561752988048,168.454183266932,251
"50-69","male",608.791287997383,"0","0",1,2,33.1977467756911,96.6363636363636,170.575757575758,33
"50-69","male",608.791287997383,"0","0",1,3,33.5024832821342,97.4166666666667,170.416666666667,24
"50-69","male",608.791287997383,"0","0",2,1,33.7181247831756,99.8384615384615,171.948717948718,39
"50-69","male",608.791287997383,"0","0",2,2,32.9978260677877,96.6153846153846,171,13
"50-69","male",608.791287997383,"0","0",2,3,31.9194021768438,96.25,173.75,8
"50-69","male",608.791287997383,"0","0",3,1,32.9431257606482,96.2592592592593,170.814814814815,27
"50-69","male",608.791287997383,"0","0",3,2,32.1119524067063,95,172,1
"50-69","male",608.791287997383,"0","0",3,3,34.024051380573,99.9565217391304,171.434782608696,23
"50-69","male",608.791287997383,"0","1",1,1,32.8368283278546,93.41,168.85,100
"50-69","male",608.791287997383,"0","1",1,2,34.206127255869,99.4,170.1,10
"50-69","male",608.791287997383,"0","1",1,3,33.2575797632153,99.2,172.2,10
"50-69","male",608.791287997383,"0","1",2,1,33.8539631674099,97.5,169.642857142857,28
"50-69","male",608.791287997383,"0","1",2,2,34.4072673496597,105.333333333333,175.222222222222,9
"50-69","male",608.791287997383,"0","1",2,3,37.2323032861151,105.285714285714,168.428571428571,7
"50-69","male",608.791287997383,"0","1",3,1,31.1828269639735,89.6,169.2,5
"50-69","male",608.791287997383,"0","1",3,2,33.425160697888,91,165,1
"50-69","male",608.791287997383,"0","1",3,3,36.7516975763853,109.4,173,5
"50-69","male",608.791287997383,"1","0",1,1,35.1064434639751,98.0162241887906,168.563421828909,339
"50-69","male",608.791287997383,"1","0",1,2,33.9220092419173,97.7090909090909,170.036363636364,55
"50-69","male",608.791287997383,"1","0",1,3,34.0899606202603,98.2,169.65,20
"50-69","male",608.791287997383,"1","0",2,1,33.8852544665254,98.7483606557377,170.524590163934,122
"50-69","male",608.791287997383,"1","0",2,2,34.5878702058147,101.122807017544,170.736842105263,57
"50-69","male",608.791287997383,"1","0",2,3,32.2687715823297,92,168.714285714286,7
"50-69","male",608.791287997383,"1","0",3,1,33.5245356702239,99.1619047619048,171.8,105
"50-69","male",608.791287997383,"1","0",3,2,33.6868611070746,100.615384615385,172.923076923077,13
"50-69","male",608.791287997383,"1","0",3,3,34.2128642114536,99.2222222222222,170.5,54
"50-69","male",608.791287997383,"1","1",1,1,34.6819221962974,98,169.897058823529,136
"50-69","male",608.791287997383,"1","1",1,2,34.5634640389917,101.842105263158,171.526315789474,19
"50-69","male",608.791287997383,"1","1",1,3,31.283417547257,93.1666666666667,172.5,6
"50-69","male",608.791287997383,"1","1",2,1,33.4998264726169,98.1642857142857,171.047619047619,42
"50-69","male",608.791287997383,"1","1",2,2,34.8903288265162,102.333333333333,171.083333333333,12
"50-69","male",608.791287997383,"1","1",3,1,33.5981544264571,100.965517241379,173.206896551724,29
"50-69","male",608.791287997383,"1","1",3,2,34.4764640743146,102.8,172.6,5
"50-69","male",608.791287997383,"1","1",3,3,33.9924492449555,102.222222222222,172.962962962963,27
"70+","female",2994.08038872364,"0","0",1,1,36.0370309823307,88.6718061674009,157.702643171806,454
"70+","female",2994.08038872364,"0","0",1,2,34.8632899761713,88.15,158.983333333333,60
"70+","female",2994.08038872364,"0","0",1,3,35.8985103381842,88.6595744680851,157.744680851064,47
"70+","female",2994.08038872364,"0","0",2,1,34.9448312050946,88.1231884057971,158.710144927536,138
"70+","female",2994.08038872364,"0","0",2,2,34.7010118042499,87.5108695652174,158.858695652174,92
"70+","female",2994.08038872364,"0","0",2,3,34.1201866363048,85.6923076923077,158.307692307692,26
"70+","female",2994.08038872364,"0","0",3,1,35.3750602958058,87.7047619047619,157.390476190476,105
"70+","female",2994.08038872364,"0","0",3,2,35.4116518182431,88.9833333333333,158.416666666667,24
"70+","female",2994.08038872364,"0","0",3,3,36.4013850507242,91.9017857142857,158.892857142857,112
"70+","female",2994.08038872364,"0","1",1,1,34.073354678594,87.3333333333333,160,12
"70+","female",2994.08038872364,"0","1",2,2,33.8052528679686,87,160.333333333333,3
"70+","female",2994.08038872364,"0","1",3,1,35.3970462165079,91.6,160.8,5
"70+","female",2994.08038872364,"0","1",3,3,34.2935528120713,90,162,1
"70+","female",2994.08038872364,"1","0",1,1,37.7283993281977,92.3479651162791,157.723837209302,688
"70+","female",2994.08038872364,"1","0",1,2,35.3986570397527,88.9923664122137,158.496183206107,131
"70+","female",2994.08038872364,"1","0",1,3,35.6315553986799,90.0421052631579,158.989473684211,95
"70+","female",2994.08038872364,"1","0",2,1,35.618139915228,88.3613003095975,157.588235294118,323
"70+","female",2994.08038872364,"1","0",2,2,35.9726434531304,91.3551136363636,159.170454545455,176
"70+","female",2994.08038872364,"1","0",2,3,35.0348590616081,89.1034482758621,159.551724137931,29
"70+","female",2994.08038872364,"1","0",3,1,35.9443842460512,90.131299734748,158.334217506631,377
"70+","female",2994.08038872364,"1","0",3,2,36.6381890797066,90.3404255319149,157.095744680851,94
"70+","female",2994.08038872364,"1","0",3,3,35.6390864176291,89.5130293159609,158.374592833876,307
"70+","female",2994.08038872364,"1","1",1,1,34.9202382107225,85.75,156.75,16
"70+","female",2994.08038872364,"1","1",1,2,37.9115890253777,94.3333333333333,157.666666666667,3
"70+","female",2994.08038872364,"1","1",1,3,34.9041914910396,81,152.5,2
"70+","female",2994.08038872364,"1","1",2,1,34.8313686543002,89,159.142857142857,7
"70+","female",2994.08038872364,"1","1",2,2,32.6445540838885,83.1666666666667,159.666666666667,6
"70+","female",2994.08038872364,"1","1",3,1,37.4009517510749,92.8333333333333,157.75,12
"70+","female",2994.08038872364,"1","1",3,2,36.4510954929798,98,164,5
"70+","female",2994.08038872364,"1","1",3,3,36.0066653549075,93.1666666666667,160.833333333333,6
"70+","male",3193.4074176795,"0","0",1,1,34.9855072703771,95.3392670157068,166.575916230366,191
"70+","male",3193.4074176795,"0","0",1,2,33.0869292190227,95.551724137931,169.931034482759,29
"70+","male",3193.4074176795,"0","0",1,3,33.6559171342214,97.304347826087,170.086956521739,23
"70+","male",3193.4074176795,"0","0",2,1,32.7848795302545,93.7666666666667,169.066666666667,30
"70+","male",3193.4074176795,"0","0",2,2,33.8823822756498,96.8333333333333,169.875,24
"70+","male",3193.4074176795,"0","0",2,3,31.8262473775804,92.75,170.25,4
"70+","male",3193.4074176795,"0","0",3,1,38.1198753245416,95.0769230769231,164.192307692308,26
"70+","male",3193.4074176795,"0","0",3,2,30.9060450087568,91.5,172,2
"70+","male",3193.4074176795,"0","0",3,3,33.2815946601911,95.9444444444444,169.638888888889,36
"70+","male",3193.4074176795,"0","1",1,1,33.5744032308173,94.622641509434,167.735849056604,53
"70+","male",3193.4074176795,"0","1",1,2,33.065661185558,91.5,166,2
"70+","male",3193.4074176795,"0","1",1,3,31.8010736150824,93.1666666666667,171.166666666667,6
"70+","male",3193.4074176795,"0","1",2,1,32.9975643530344,96.1666666666667,170.666666666667,6
"70+","male",3193.4074176795,"0","1",2,2,33.0684713904921,97.25,171.5,4
"70+","male",3193.4074176795,"0","1",2,3,34.0199286139203,91.5,164,2
"70+","male",3193.4074176795,"0","1",3,1,31.5836272938941,90.4,169,5
"70+","male",3193.4074176795,"0","1",3,2,30.1204819277108,83,166,1
"70+","male",3193.4074176795,"0","1",3,3,32.8972678067543,100,174.285714285714,7
"70+","male",3193.4074176795,"1","0",1,1,34.3957002849505,97.0750708215297,168.062322946176,353
"70+","male",3193.4074176795,"1","0",1,2,33.9062106325349,96.6923076923077,168.903846153846,52
"70+","male",3193.4074176795,"1","0",1,3,32.9800861244176,97.8,172.15,20
"70+","male",3193.4074176795,"1","0",2,1,33.7082751397483,95.4141414141414,168.414141414141,99
"70+","male",3193.4074176795,"1","0",2,2,34.084802368808,98.8928571428571,170.285714285714,56
"70+","male",3193.4074176795,"1","0",2,3,33.5930144873326,95.4615384615385,168.538461538462,13
"70+","male",3193.4074176795,"1","0",3,1,33.3628983421049,97.1111111111111,170.5,90
"70+","male",3193.4074176795,"1","0",3,2,33.9217839446653,96.8076923076923,168.846153846154,26
"70+","male",3193.4074176795,"1","0",3,3,34.0585089994985,98.5581395348837,169.837209302326,86
"70+","male",3193.4074176795,"1","1",1,1,33.5900884175873,94.875,167.925,80
"70+","male",3193.4074176795,"1","1",1,2,35.5721894834126,103.5,170.4,20
"70+","male",3193.4074176795,"1","1",1,3,33.3436293810082,93,166.6,5
"70+","male",3193.4074176795,"1","1",2,1,33.4209606003049,96.1428571428571,169.607142857143,28
"70+","male",3193.4074176795,"1","1",2,2,32.9694561932004,95.5625,170.1875,16
"70+","male",3193.4074176795,"1","1",2,3,39.293376684566,113,169.5,2
"70+","male",3193.4074176795,"1","1",3,1,33.6090995252007,98.078947368421,170.684210526316,38
"70+","male",3193.4074176795,"1","1",3,2,33.7033369830143,97.75,169.75,4
"70+","male",3193.4074176795,"1","1",3,3,34.2171352737241,99.35,170.6,20
